,LOC,EOF1,EOF2,AR_CAT,EOF_CAT1,EOF_CAT2,EOF_CAT
1979-12-01 09:00:00,R03,-0.5931120902363518,-0.07987554009241336,3,1,0,1
1979-12-02 09:00:00,R01,-0.3292843610411216,0.14997540771929876,3,0,0,0
1980-01-24 09:00:00,R01,-0.2907040265466494,-0.3468664016986003,1,0,1,2
1980-01-25 09:00:00,R01,-0.25572642309330457,-0.170104289523432,3,0,0,0
1980-02-12 09:00:00,R01,-0.06867059125918212,0.24030658334165575,3,0,0,0
1980-02-13 09:00:00,R01,0.21605238034564825,-0.02197673077287084,2,0,0,0
1980-02-25 09:00:00,R01,-0.410258461210535,-0.07634997733743751,3,0,0,0
1980-02-26 09:00:00,R01,-0.11620797393018008,0.10972039413622757,3,0,0,0
1980-12-13 09:00:00,R01,-0.4307793285332922,-0.2038570481332433,3,1,0,1
1980-12-23 09:00:00,R02,0.7081473851313133,0.03681336925102865,2,1,0,1
1981-01-27 09:00:00,R01,0.06161615006655249,-0.34478197348853046,1,0,1,2
1981-02-10 09:00:00,R01,-0.41770191508447546,-0.33065951707339375,3,1,0,1
1981-02-11 09:00:00,R01,-0.46703977503944344,0.06527461206045032,3,1,0,1
1981-12-10 09:00:00,R03,0.505574200849146,-0.09842783074010893,2,1,0,1
1981-12-11 09:00:00,R03,0.513291103169011,-0.10257510933766123,2,1,0,1
1982-01-29 09:00:00,R01,0.4079611339372562,0.12285317289478058,2,1,0,1
1982-02-09 09:00:00,R01,-0.5335000255016864,-0.1879112199951709,3,1,0,1
1982-02-17 09:00:00,R03,-0.05447622214344573,0.070576063227293,3,0,0,0
1982-02-18 09:00:00,R03,0.08951309380794814,0.14718065718532244,2,0,0,0
1982-12-08 09:00:00,R01,-0.2184900119750025,0.26545489717334775,3,0,0,0
1982-12-09 09:00:00,R02,-0.1831345555733215,0.3818088802331726,3,0,1,2
1983-01-25 09:00:00,R01,-0.44259440088370894,0.00131914997834364,3,1,0,1
1983-01-27 09:00:00,R02,-0.299789934486794,-0.17744208631676503,3,0,0,0
1983-02-27 09:00:00,R01,-0.4592068668208576,-0.3430205998327005,3,1,1,2
1983-02-28 09:00:00,R01/R02,-0.4480181013575696,0.12337453081809432,3,1,0,1
1983-12-25 09:00:00,R03,0.20456196077359762,-0.6427222442616422,1,0,1,2
1983-12-26 09:00:00,R03,-0.07406420268102692,-0.6493891924807645,1,0,1,2
1983-12-27 09:00:00,R03,-0.16323452712995706,-0.24230684067847938,1,0,0,0
1984-01-16 09:00:00,R03,0.33450707384255773,-0.5572394868105004,1,0,1,2
1984-01-17 09:00:00,R03,0.12103691486414793,-0.5723490761953303,1,0,1,2
1984-02-19 09:00:00,R02,0.6832950425517137,0.025414811729348997,2,1,0,1
1984-02-20 09:00:00,R03,0.6427269570525183,-0.07796411316791287,2,1,0,1
1984-12-07 09:00:00,R01,-0.4917163270258591,-0.02234875050929292,3,1,0,1
1984-12-09 09:00:00,R02,-0.48006583328341046,-0.0967374590913657,3,1,0,1
1984-12-10 09:00:00,R01/R02,-0.33442366367230986,-0.22505114572316368,3,0,0,0
1984-12-13 09:00:00,R03,0.16146529709717894,-0.7241440627256248,1,0,1,2
1984-12-14 09:00:00,R03,0.0890816678868307,-0.5039941455577378,1,0,1,2
1985-01-17 09:00:00,R01,0.18908157856176508,0.5581719038090214,2,0,1,2
1985-02-02 09:00:00,R01,-0.20831350938107546,-0.6698514414684182,1,0,1,2
1985-12-06 09:00:00,R01,-0.14396117892083457,0.44786445173739187,3,0,1,2
1985-12-19 09:00:00,R01,-0.43534944498590544,-0.42395421173812703,1,1,1,2
1985-12-20 09:00:00,R01,-0.47863835385436293,-0.007034578061085319,3,1,0,1
1985-12-21 09:00:00,R01,-0.2993264108282219,0.01693133901177041,3,0,0,0
1985-12-26 09:00:00,R02,0.25410743323758894,-0.4290210859035473,1,0,1,2
1986-02-09 09:00:00,R02,0.43538543428774235,0.2895914931480872,2,1,0,1
1986-12-03 09:00:00,R01,-0.5475788409597063,-0.07802663499981233,3,1,0,1
1986-12-04 09:00:00,R01,-0.7063964217678251,0.03473994244025988,3,1,0,1
1986-12-05 09:00:00,R01,-0.6226526499641193,0.27447814299029244,3,1,0,1
1986-12-06 09:00:00,R01,-0.3253184779059504,0.3469388503544323,3,0,1,2
1986-12-13 09:00:00,R02,0.22255418735867627,0.039858484335182465,2,0,0,0
1987-02-11 09:00:00,R01,-0.27105124310819684,0.48033765205941437,3,0,1,2
1987-12-11 09:00:00,R02,0.4571463460568498,0.14546196546902584,2,1,0,1
1987-12-29 09:00:00,R01,-0.561615123955454,0.08453724125318916,3,1,0,1
1987-12-30 09:00:00,R01,-0.6439524018294339,0.24582210025724938,3,1,0,1
1987-12-31 09:00:00,R01,-0.45678204958969015,0.574393803959888,3,1,1,2
1988-01-01 09:00:00,R01,-0.2610726116821799,0.7434377935926018,3,0,1,2
1988-01-20 09:00:00,R01,0.14032940126732132,0.4783410899624529,2,0,1,2
1988-02-18 09:00:00,R01,-0.2778315173425635,-0.17117533584157082,3,0,0,0
1988-02-19 09:00:00,R01,-0.001094718943984039,-0.04587577982407923,3,0,0,0
1988-02-23 09:00:00,R03,0.3190492324555726,-0.6649743204439903,1,0,1,2
1988-02-24 09:00:00,R03,0.258975356310032,-0.38653854492315287,1,0,1,2
1988-12-20 09:00:00,R01,0.13773880351558807,-0.054157261948249706,2,0,0,0
