,AR_CAT
1979-03-01 09:00:00,0
1979-03-02 09:00:00,0
1979-03-03 09:00:00,0
1979-03-04 09:00:00,0
1979-03-05 09:00:00,0
1979-03-06 09:00:00,0
1979-03-07 09:00:00,0
1979-03-08 09:00:00,2
1979-03-09 09:00:00,2
1979-03-10 09:00:00,0
1979-03-11 09:00:00,0
1979-03-12 09:00:00,0
1979-03-13 09:00:00,0
1979-03-14 09:00:00,0
1979-03-15 09:00:00,0
1979-03-16 09:00:00,0
1979-03-17 09:00:00,0
1979-03-18 09:00:00,1
1979-03-19 09:00:00,0
1979-03-20 09:00:00,0
1979-03-21 09:00:00,0
1979-03-22 09:00:00,0
1979-03-23 09:00:00,0
1979-03-24 09:00:00,0
1979-03-25 09:00:00,0
1979-03-26 09:00:00,0
1979-03-27 09:00:00,0
1979-03-28 09:00:00,1
1979-03-29 09:00:00,0
1979-03-30 09:00:00,0
1979-03-31 09:00:00,0
1979-04-01 09:00:00,0
1979-04-02 09:00:00,0
1979-04-03 09:00:00,0
1979-04-04 09:00:00,0
1979-04-05 09:00:00,2
1979-04-06 09:00:00,0
1979-04-07 09:00:00,0
1979-04-08 09:00:00,0
1979-04-09 09:00:00,0
1979-04-10 09:00:00,0
1979-04-11 09:00:00,0
1979-04-12 09:00:00,0
1979-04-13 09:00:00,0
1979-04-14 09:00:00,0
1979-04-15 09:00:00,0
1979-04-16 09:00:00,0
1979-04-17 09:00:00,0
1979-04-18 09:00:00,0
1979-04-19 09:00:00,0
1979-04-20 09:00:00,0
1979-04-21 09:00:00,0
1979-04-22 09:00:00,0
1979-04-23 09:00:00,0
1979-04-24 09:00:00,0
1979-04-25 09:00:00,0
1979-04-26 09:00:00,0
1979-04-27 09:00:00,0
1979-04-28 09:00:00,0
1979-04-29 09:00:00,0
1979-04-30 09:00:00,0
1979-05-01 09:00:00,0
1979-05-02 09:00:00,0
1979-05-03 09:00:00,0
1979-05-04 09:00:00,0
1979-05-05 09:00:00,0
1979-05-06 09:00:00,0
1979-05-07 09:00:00,1
1979-05-08 09:00:00,1
1979-05-09 09:00:00,0
1979-05-10 09:00:00,0
1979-05-11 09:00:00,0
1979-05-12 09:00:00,0
1979-05-13 09:00:00,0
1979-05-14 09:00:00,0
1979-05-15 09:00:00,0
1979-05-16 09:00:00,0
1979-05-17 09:00:00,0
1979-05-18 09:00:00,4
1979-05-19 09:00:00,0
1979-05-20 09:00:00,0
1979-05-21 09:00:00,0
1979-05-22 09:00:00,0
1979-05-23 09:00:00,0
1979-05-24 09:00:00,0
1979-05-25 09:00:00,0
1979-05-26 09:00:00,0
1979-05-27 09:00:00,0
1979-05-28 09:00:00,0
1979-05-29 09:00:00,0
1979-05-30 09:00:00,0
1979-05-31 09:00:00,0
1980-03-01 09:00:00,2
1980-03-02 09:00:00,0
1980-03-03 09:00:00,3
1980-03-04 09:00:00,0
1980-03-05 09:00:00,1
1980-03-06 09:00:00,0
1980-03-07 09:00:00,4
1980-03-08 09:00:00,0
1980-03-09 09:00:00,0
1980-03-10 09:00:00,0
1980-03-11 09:00:00,0
1980-03-12 09:00:00,0
1980-03-13 09:00:00,0
1980-03-14 09:00:00,0
1980-03-15 09:00:00,0
1980-03-16 09:00:00,0
1980-03-17 09:00:00,0
1980-03-18 09:00:00,0
1980-03-19 09:00:00,0
1980-03-20 09:00:00,4
1980-03-21 09:00:00,0
1980-03-22 09:00:00,0
1980-03-23 09:00:00,0
1980-03-24 09:00:00,0
1980-03-25 09:00:00,0
1980-03-26 09:00:00,0
1980-03-27 09:00:00,0
1980-03-28 09:00:00,0
1980-03-29 09:00:00,0
1980-03-30 09:00:00,2
1980-03-31 09:00:00,0
1980-04-01 09:00:00,0
1980-04-02 09:00:00,0
1980-04-03 09:00:00,0
1980-04-04 09:00:00,0
1980-04-05 09:00:00,4
1980-04-06 09:00:00,0
1980-04-07 09:00:00,0
1980-04-08 09:00:00,0
1980-04-09 09:00:00,0
1980-04-10 09:00:00,0
1980-04-11 09:00:00,0
1980-04-12 09:00:00,0
1980-04-13 09:00:00,0
1980-04-14 09:00:00,0
1980-04-15 09:00:00,0
1980-04-16 09:00:00,0
1980-04-17 09:00:00,3
1980-04-18 09:00:00,0
1980-04-19 09:00:00,0
1980-04-20 09:00:00,0
1980-04-21 09:00:00,0
1980-04-22 09:00:00,0
1980-04-23 09:00:00,4
1980-04-24 09:00:00,0
1980-04-25 09:00:00,0
1980-04-26 09:00:00,0
1980-04-27 09:00:00,0
1980-04-28 09:00:00,0
1980-04-29 09:00:00,0
1980-04-30 09:00:00,0
1980-05-01 09:00:00,0
1980-05-02 09:00:00,0
1980-05-03 09:00:00,0
1980-05-04 09:00:00,0
1980-05-05 09:00:00,0
1980-05-06 09:00:00,0
1980-05-07 09:00:00,0
1980-05-08 09:00:00,0
1980-05-09 09:00:00,0
1980-05-10 09:00:00,0
1980-05-11 09:00:00,0
1980-05-12 09:00:00,0
1980-05-13 09:00:00,0
1980-05-14 09:00:00,0
1980-05-15 09:00:00,0
1980-05-16 09:00:00,0
1980-05-17 09:00:00,0
1980-05-18 09:00:00,0
1980-05-19 09:00:00,0
1980-05-20 09:00:00,0
1980-05-21 09:00:00,0
1980-05-22 09:00:00,0
1980-05-23 09:00:00,0
1980-05-24 09:00:00,0
1980-05-25 09:00:00,0
1980-05-26 09:00:00,0
