,SH
1978-12-01,-2.1600254
1979-12-01,0.117889464
1980-12-01,0.5675922
1981-12-01,-0.39930072
1982-12-01,-0.37929654
1983-12-01,1.2896652
1984-12-01,0.50935936
1985-12-01,1.006403
1986-12-01,-0.8308502
1987-12-01,0.4113317
1988-12-01,-1.2273746
1989-12-01,-0.9822698
1990-12-01,-0.77930915
1991-12-01,-0.9942296
1992-12-01,-1.007898
1993-12-01,-0.64782256
1994-12-01,0.41126055
1995-12-01,0.93186784
1996-12-01,-1.5346276
1997-12-01,-0.5778435
1998-12-01,-0.3429188
1999-12-01,0.9125043
2000-12-01,-0.62112653
2001-12-01,-0.22018848
2002-12-01,-0.18765497
2003-12-01,-0.62703526
2004-12-01,1.4175211
2005-12-01,1.8527725
2006-12-01,-1.561893
2007-12-01,0.9178435
2008-12-01,-0.61322457
2009-12-01,0.15505028
2010-12-01,0.7725462
2011-12-01,2.1212986
2012-12-01,0.27685514
2013-12-01,-0.53733677
2014-12-01,-0.49099255
2015-12-01,1.3182833
2016-12-01,-0.5458083
2017-12-01,1.5774835
2018-12-01,1.4144601
2019-12-01,-0.71089625
